-58.088001,31.212000,0.562000,0.088302,0.720847,0.687447,0
-57.936001,31.298000,0.556000,0.088302,0.720847,0.687447,0
-57.881001,31.384001,0.498000,0.088302,0.720847,0.687447,0
-57.868999,31.479000,0.392000,0.088302,0.720847,0.687447,0
-58.132000,31.548000,0.148000,0.088302,0.720847,0.687447,0
-57.923000,30.860001,0.262000,0.088302,0.720847,0.687447,0
-57.827999,30.943001,0.234000,0.088302,0.720847,0.687447,0
-57.668999,31.028999,0.231000,0.088302,0.720847,0.687447,0
-57.647999,31.104000,0.153000,0.088302,0.720847,0.687447,0
-57.617001,31.209999,0.047000,0.088302,0.720847,0.687447,0
-57.787998,31.283001,-0.142000,0.088302,0.720847,0.687447,0
-40.029999,26.757999,4.238000,-0.125584,0.481450,0.867430,0
-31.072001,24.483000,4.148000,-0.067129,0.049153,0.996533,0
-31.018000,24.587000,4.078000,-0.067129,0.049153,0.996533,0
-39.417000,28.122000,-0.779000,-0.103119,0.386946,0.916318,0
-39.234001,28.232000,-0.718000,-0.103119,0.386946,0.916318,0
-39.340000,28.301001,-0.904000,-0.103119,0.386946,0.916318,0
-41.411999,30.891001,-1.016000,-0.097257,0.385795,0.917444,0
-40.910000,31.110001,-0.798000,-0.097257,0.385795,0.917444,0
-37.728001,29.051001,-0.899000,-0.002098,-0.012580,0.999919,0
-38.841999,30.662001,-0.678000,-0.002098,-0.012580,0.999919,0
-38.895000,30.740000,-0.813000,-0.002098,-0.012580,0.999919,0
-38.778999,30.840000,-0.803000,-0.002098,-0.012580,0.999919,0
-34.830002,31.211000,-1.024000,0.016570,-0.027682,0.999479,0
-34.512001,31.318001,-0.809000,0.016570,-0.027682,0.999479,0
-34.370998,31.416000,-0.770000,0.016570,-0.027682,0.999479,0
-37.551998,32.028000,-0.851000,-0.000799,-0.030251,0.999542,0
-37.293999,32.145000,-0.732000,0.011695,-0.026812,0.999572,0
-37.694000,33.217999,-0.705000,0.011695,-0.026812,0.999572,0
-37.623001,33.306000,-0.718000,0.011695,-0.026812,0.999572,0
-37.653999,33.422001,-0.859000,0.011695,-0.026812,0.999572,0
-34.403999,33.544998,-0.714000,0.015376,-0.023998,0.999594,0
-32.435001,33.512001,-0.806000,0.016570,-0.027682,0.999479,0
-34.278999,33.631001,-0.679000,0.015376,-0.023998,0.999594,0
-34.356998,33.723999,-0.833000,0.015376,-0.023998,0.999594,0
-32.304001,33.721001,-0.855000,0.016570,-0.027682,0.999479,0
-34.689999,34.640999,-0.631000,0.015376,-0.023998,0.999594,0
-34.701000,34.763000,-0.741000,0.015376,-0.023998,0.999594,0
-34.675999,34.849998,-0.791000,0.015376,-0.023998,0.999594,0
-34.672001,34.946999,-0.866000,0.015376,-0.023998,0.999594,0
-21.188000,32.991001,2.544000,-0.005739,0.057818,0.998311,0
-21.145000,33.099998,2.500000,-0.167918,0.020631,0.985585,0
-21.181000,33.188999,2.367000,-0.167918,0.020631,0.985585,0
-24.531000,37.171001,2.380000,-0.071405,0.044855,0.996438,0
-24.500000,37.261002,2.347000,-0.069459,0.049011,0.996380,0
-24.393000,37.361000,2.387000,-0.057703,0.068161,0.996004,0
-32.651001,41.533001,-0.764000,-0.274744,0.060467,0.959614,0
-32.648998,41.634998,-0.824000,-0.274744,0.060467,0.959614,0
-32.465000,41.696999,-0.702000,-0.274744,0.060467,0.959614,0
-21.620001,49.730999,2.500000,0.399367,0.190089,0.896868,0
-21.485001,49.800999,2.615000,0.399367,0.190089,0.896868,0
-53.365002,2.464000,0.534000,0.077736,-0.014704,0.996866,0
-53.297001,2.540000,0.431000,0.077736,-0.014704,0.996866,0
-53.555000,2.470000,0.091000,0.077736,-0.014704,0.996866,0
-53.210999,1.965000,1.086000,0.077736,-0.014704,0.996866,0
-53.243000,1.990000,0.917000,0.077736,-0.014704,0.996866,0
-53.243000,2.078000,0.634000,0.077736,-0.014704,0.996866,0
-37.085999,12.602000,7.447000,0.336362,-0.934450,0.116893,0
-36.791000,12.780000,7.530000,0.373379,-0.920839,0.112442,0
-36.469002,12.961000,7.654000,0.382216,-0.918256,0.103517,0
-29.205999,0.609000,5.996000,0.107887,-0.992669,0.054490,0
-27.305000,0.668000,5.891000,0.221989,-0.974291,0.038447,0
-29.412001,0.499000,5.520000,0.110426,-0.990207,0.085414,0
-35.200001,12.899000,7.527000,0.866448,-0.488772,0.101830,0
-27.514999,0.512000,5.531000,0.247159,-0.968795,0.018690,0
-27.672001,0.416000,5.205000,0.133472,-0.985804,0.101860,0
-34.881001,13.137000,7.535000,0.851404,-0.511163,0.117576,0
-27.086000,0.491000,5.506000,0.241586,-0.970318,0.010871,0
-27.025000,0.566000,5.409000,0.241586,-0.970318,0.010871,0
-27.059999,0.575000,5.192000,0.241586,-0.970318,0.010871,0
-40.175999,5.769000,-0.592000,-0.010683,-0.051902,0.998595,0
